[1EpKEzvuHeretguuch9FZrqEk9LsgoD7fh;4601300000]:[1LUTgrhANEFAu1ETY3ZUyhhM3dCg46G66r;4500300000,1K5ubpKzbmGgSxQW1QvSgmG9C3jSPwcgSR;101000000]
[19KywWm7DcJVNLytgXi9kSybRpJP81BXfW;106768226031]:[1Em1r5YkMeoCBXJmzQjYjWEjfQjR5UCPLs;106750226031,1HpvzDeYDHBQuenA9MoJP233Scehesomm5;18000000]
[128rdTGs5LNfvzfAcGGsynsqWGGdaUaSSa;600000000]:[1ortbkKN2jd3PiGWzpRhNjYtv4FedUmNp;299000000,144kw6BpvPcDqi3HXPE3vr7EaPSTBXKPuS;300000000]
[12mqwyPMg68e3rBdAgKdT7ttrEiPeArEPe;23399000000]:[1HvA2TnABdcDTv441BjYKABBXQLhG6FhfL;13398900000,1E38XQRdXVhafXoAXwSZyoxPQ7R5HtmfrW;10000000000]
[14JzUnxBqznThEndS5rFWwFmGvZ3frfxNh;7389883327]:[16Wpm1pzNPjo8MQk6HFconmt6u9ZzZJxeQ;7386883327,12RCohYnK9rXC4azetoTAPrB4yjc9v3zuV;3000000]
[16C9eF7nN6ghVKTBR5U6gfP3nEq2oqFHMz;1152000000]:[1DbZHEXFY9PwfhWN1piQnmwESUrdLeHPsT;552000000,16UnxVAG4stWQR5ETbYTyunWUdNhZrsMwh;600000000]
[1NTuzR7TQHVzWaUR7XQ9V4pa2WhR3g3Vdf;2933028787]:[1H9qKRNUiqUCd9TRuFu2Wm4d31pCZuGugN;2928028787,1425FdBwc5kKc6piNLRaUYabjeCqD97dz1;5000000]
[16y1qfTm6xKELMvSo4XsYQs3Ma4rXdoCF9;3301020000]:[15aQvjvR7HbWXKV2htamgj23nJccmGEfjZ;3300020000,12u74JDzuLM9p9yJ1PgFWTSR4f1Gof7YTG;1000000]
[1CyTZKvocJDyN2vc58WkBXZ5fdpHuEfUD9;1777950000]:[17K7AHd8MpnnG1S2DFvPqyX14UUwbNWSPG;1627950000,16muA1AUuKC96zbjd2jYaYpnZkikPuxpxF;150000000]
[1CuykavEbagr5VA4kg8B7ZQb1AsAGpWvSL;914900000]:[1NjunUiomYoTefHnAqpiS47bZtBZh7NeDg;201850000,12VhHRHk4cwd1KQ3N1njoErhsp55WiPHEU;713000000]
[1LdXEjhwwPejQwvw5UMBZ62MjaQLhU5C3k;30900000]:[1MBbsxFAzWke4CAtFtBqq8W6Ka5KUCX2EF;16900000,12i2BLmiEFuuBzCBWSWJUbiWD4uUQZHgNT;13000000]
[1GZyQXqGmBivFDQM8AzZfXo4UwJJcHXkbJ;9729249160]:[1E1coK5dSdMYJYFEQEFMuwhmrcbgF3XNRw;9728249160,1FcX749KS4xyyCFjzJCEhwnfQX8i1aSrCZ;1000000]
[1DVQWy4Yo86v4Pvi3ykRyDeo6kfLmqqGMB;38700000]:[13L8iTKUaT8nKCK81mKWDR149dp8LHUN29;38550000,1131DjE4Y1hh1L2wYovF4hBEM2NGCYgfLw;100000]
[19vgotkaRmRf7Qjm8p3DUqMR7PdX2YFBW4;9310750000]:[1KHvQT7gUkuYbDU93UPTuwtBDHwSyy8JFs;9270750000,1JSkgLdNY5pntNunzKEgsQFmsDGudzS37Y;40000000]
[1MyFsYyA53Ydwm9chD9b75oit586mNaQ9L;1163200100]:[19EcWUb4n28DQQ7rmJUicSx4v44Y76z4iU;1140200100,17uNC4wVKJNvbyTS94h54K75ubjB48i72W;23000000]
[17xmn4BwQbU7kMiFwJvQGcfEx65bsSgoiV;27714854]:[1NqxvcMJsPT9hcHhH2d8eSEzGhUV361kup;17714854,1Hb3LrP8jL9kB48gPop5UuKNKduWBHEWkT;9000000]
[1CUcd7hiDX6hd3Jte74Kwe1LuzK754aBpj;10345606704]:[15XuXpFyoAAA8rFnXjHccZHdZuYKKgz9hL;10293606704,1Fk4DVGCGoXAiYCUMU7z97kyxDQZNCof24;52000000]
[12muRqMbgrWrzFe2GwTRcA3awjecSK4xrv;5599528234]:[195xs9ahff7LvCJQszZ8UtJhF49ohtxfXY;5598528234,1JTmoKHAnXTmDH9dQsiu3z9ruzxvd4crU8;1000000]
[133atpv9D7bhhfmubvSNhhyk9irH5KdGm4;250000000]:[1PSE6JHwKEfiCahz2U7mpdyoK6Cv9Tvys2;250000000]
[15ohNrGPZuDGoD47e4k4uKuXMfJyceemqf;2000000]:[1FrvHjgycaFcZmKHfKeFkiiZ5YMfZkNVN2;2000000]
[1GhLw6AiBGMCvzFJywzJrYmaeKbpUpYTtj;426000000]:[1PkEfCdbsixsqM8DxRPqyA1wdJe6gLcn1d;224000000,1P8wfPhoLZpeRKZPTdmx9ZET7fHic8vqHa;201000000]
[1AEdF3H5hQmaFcpVvSkMTLE8UL8oTH3ayK;4960000000]:[17weuETkCh4VesFGXvo3GwQ85iNcgporRr;4910000000,17zZwdxA5vcFXQiDjwJNs5onktRpkizY8U;50000000]
